Episode_x20,Average Reward
0,-172.91375822090916
1,-137.78664423855798
2,-142.65553517077362
3,-128.4331455702968
4,-149.9033337159073
5,-82.9587905191506
6,-71.68748547470899
7,-76.31556635844645
8,-70.41468356300746
9,-13.352055741178708
10,2.6343663818380065
11,-30.79575198699152
12,-40.966226202106526
13,5.764887241165729
14,-4.105400423623832
15,24.63908992713477
16,4.458319577402901
17,13.840599668628183
18,-13.244566256571883
19,48.62478093547055
20,2.2376636006420725
21,47.752917557527276
22,60.43027904515414
23,38.73309013961968
24,27.22174964913893
25,59.501396166435754
26,80.92169112878875
27,79.09117730802765
28,29.148025986680324
29,73.99417279200408
30,73.25121251395163
31,56.66368200735327
32,67.3903578351434
33,37.03637889566798
34,89.29062741377949
35,88.6184391891058
36,82.2047685852633
37,68.23469784652686
38,85.94107940184263
39,79.33089213424601
40,57.6339027508238
41,78.10204424024177
42,32.405846554265814
43,71.95697761295295
44,85.16850230001025
45,66.10526810779443
46,72.75214777658815
47,44.95074111565564
48,60.5682959030132
